Settlement Date,Product,Contract,Settlement
1/9/2013,CL,CLX16,87.14
1/9/2013,CL,CLZ16,86.98
1/9/2013,CL,CLF17,86.81
1/9/2013,CL,CLG17,86.65
1/9/2013,CL,CLH17,86.5
1/9/2013,CL,CLJ17,86.36
1/9/2013,CL,CLK17,86.22
1/9/2013,CL,CLM17,86.08
1/9/2013,CL,CLN17,85.95
1/9/2013,CL,CLQ17,85.82
1/9/2013,CL,CLU17,85.7
1/9/2013,CL,CLV17,85.58
1/9/2013,CL,CLX17,85.46
1/9/2013,CL,CLZ17,85.35
1/9/2013,CL,CLF18,85.25
1/9/2013,CL,CLG18,85.16
1/9/2013,CL,CLH18,85.07
1/9/2013,CL,CLJ18,84.98
1/9/2013,CL,CLK18,84.89
1/9/2013,CL,CLM18,84.8
1/9/2013,CL,CLN18,84.71
1/9/2013,CL,CLQ18,84.63
1/9/2013,CL,CLU18,84.55
1/9/2013,CL,CLV18,84.47
1/9/2013,CL,CLX18,84.39
1/9/2013,CL,CLZ18,84.31
1/9/2013,CL,CLM19,84.11
1/9/2013,CL,CLZ19,83.92
1/9/2013,CL,CLM20,83.92
1/9/2013,CL,CLZ20,83.92
1/9/2013,CL,CLM21,83.92
1/9/2013,CL,CLZ21,83.92
1/10/2013,CL,CLG13,93.82
1/10/2013,CL,CLH13,94.27
1/10/2013,CL,CLJ13,94.65
1/10/2013,CL,CLK13,94.97
1/10/2013,CL,CLM13,95.21
1/10/2013,CL,CLN13,95.33
1/10/2013,CL,CLQ13,95.32
1/10/2013,CL,CLU13,95.22
1/10/2013,CL,CLV13,95.02
1/10/2013,CL,CLX13,94.81
1/10/2013,CL,CLZ13,94.6
1/10/2013,CL,CLF14,94.33
1/10/2013,CL,CLG14,94.05
1/10/2013,CL,CLH14,93.78
1/10/2013,CL,CLJ14,93.53
1/10/2013,CL,CLK14,93.3
1/10/2013,CL,CLM14,93.06
1/10/2013,CL,CLN14,92.75
1/10/2013,CL,CLQ14,92.49
1/10/2013,CL,CLU14,92.27
1/10/2013,CL,CLV14,92.08
1/10/2013,CL,CLX14,91.92
1/10/2013,CL,CLZ14,91.78
1/10/2013,CL,CLF15,91.47
1/10/2013,CL,CLG15,91.18
1/10/2013,CL,CLH15,90.91
1/10/2013,CL,CLJ15,90.65
1/10/2013,CL,CLK15,90.41
1/10/2013,CL,CLM15,90.19
1/10/2013,CL,CLN15,89.94
1/10/2013,CL,CLQ15,89.71
1/10/2013,CL,CLU15,89.51
1/10/2013,CL,CLV15,89.32
1/10/2013,CL,CLX15,89.15
1/10/2013,CL,CLZ15,88.99
1/10/2013,CL,CLF16,88.77
1/10/2013,CL,CLG16,88.55
1/10/2013,CL,CLH16,88.34
1/10/2013,CL,CLJ16,88.13
1/10/2013,CL,CLK16,87.93
1/10/2013,CL,CLM16,87.73
1/10/2013,CL,CLN16,87.54
1/10/2013,CL,CLQ16,87.36
1/10/2013,CL,CLU16,87.18
1/10/2013,CL,CLV16,87.01
1/10/2013,CL,CLX16,86.84
1/10/2013,CL,CLZ16,86.68
1/10/2013,CL,CLF17,86.52
1/10/2013,CL,CLG17,86.37
1/10/2013,CL,CLH17,86.22
1/10/2013,CL,CLJ17,86.08
1/10/2013,CL,CLK17,85.94
1/10/2013,CL,CLM17,85.81
1/10/2013,CL,CLN17,85.68
1/10/2013,CL,CLQ17,85.56
1/10/2013,CL,CLU17,85.44
1/10/2013,CL,CLV17,85.33
1/10/2013,CL,CLX17,85.22
1/10/2013,CL,CLZ17,85.11
1/10/2013,CL,CLF18,85.01
1/10/2013,CL,CLG18,84.91
1/10/2013,CL,CLH18,84.81
1/10/2013,CL,CLJ18,84.71
1/10/2013,CL,CLK18,84.62
1/10/2013,CL,CLM18,84.53
1/10/2013,CL,CLN18,84.44
1/10/2013,CL,CLQ18,84.35
1/10/2013,CL,CLU18,84.26
1/10/2013,CL,CLV18,84.17
1/10/2013,CL,CLX18,84.09
1/10/2013,CL,CLZ18,84.01
1/10/2013,CL,CLM19,83.81
1/10/2013,CL,CLZ19,83.61
1/10/2013,CL,CLM20,83.56
1/10/2013,CL,CLZ20,83.51
1/10/2013,CL,CLM21,83.51
1/10/2013,CL,CLZ21,83.51
1/11/2013,CL,CLG13,93.56
1/11/2013,CL,CLH13,93.99
1/11/2013,CL,CLJ13,94.35
1/11/2013,CL,CLK13,94.66
1/11/2013,CL,CLM13,94.88
1/11/2013,CL,CLN13,94.98
1/11/2013,CL,CLQ13,94.93
1/11/2013,CL,CLU13,94.79
1/11/2013,CL,CLV13,94.55
1/11/2013,CL,CLX13,94.29
1/11/2013,CL,CLZ13,94.04
1/11/2013,CL,CLF14,93.75
1/11/2013,CL,CLG14,93.46
1/11/2013,CL,CLH14,93.18
1/11/2013,CL,CLJ14,92.91
1/11/2013,CL,CLK14,92.66
1/11/2013,CL,CLM14,92.41
1/11/2013,CL,CLN14,92.09
1/11/2013,CL,CLQ14,91.82
1/11/2013,CL,CLU14,91.59
1/11/2013,CL,CLV14,91.4
1/11/2013,CL,CLX14,91.23
1/11/2013,CL,CLZ14,91.08
1/11/2013,CL,CLF15,90.77
1/11/2013,CL,CLG15,90.48
1/11/2013,CL,CLH15,90.22
1/11/2013,CL,CLJ15,89.97
1/11/2013,CL,CLK15,89.73
1/11/2013,CL,CLM15,89.52
1/11/2013,CL,CLN15,89.27
1/11/2013,CL,CLQ15,89.05
1/11/2013,CL,CLU15,88.85
1/11/2013,CL,CLV15,88.67
1/11/2013,CL,CLX15,88.5
1/11/2013,CL,CLZ15,88.35
1/11/2013,CL,CLF16,88.13
1/11/2013,CL,CLG16,87.92
1/11/2013,CL,CLH16,87.72
1/11/2013,CL,CLJ16,87.52
1/11/2013,CL,CLK16,87.32
1/11/2013,CL,CLM16,87.13
1/11/2013,CL,CLN16,86.95
1/11/2013,CL,CLQ16,86.77
1/11/2013,CL,CLU16,86.6
1/11/2013,CL,CLV16,86.43
1/11/2013,CL,CLX16,86.27
1/11/2013,CL,CLZ16,86.12
1/11/2013,CL,CLF17,85.98
1/11/2013,CL,CLG17,85.85
1/11/2013,CL,CLH17,85.72
1/11/2013,CL,CLJ17,85.6
1/11/2013,CL,CLK17,85.48
1/11/2013,CL,CLM17,85.37
1/11/2013,CL,CLN17,85.27
1/11/2013,CL,CLQ17,85.17
1/11/2013,CL,CLU17,85.07
1/11/2013,CL,CLV17,84.98
1/11/2013,CL,CLX17,84.89
1/11/2013,CL,CLZ17,84.8
1/11/2013,CL,CLF18,84.72
1/11/2013,CL,CLG18,84.65
1/11/2013,CL,CLH18,84.58
1/11/2013,CL,CLJ18,84.51
1/11/2013,CL,CLK18,84.44
1/11/2013,CL,CLM18,84.37
1/11/2013,CL,CLN18,84.3
1/11/2013,CL,CLQ18,84.24
1/11/2013,CL,CLU18,84.18
1/11/2013,CL,CLV18,84.12
1/11/2013,CL,CLX18,84.06
1/11/2013,CL,CLZ18,84
1/11/2013,CL,CLM19,83.85
1/11/2013,CL,CLZ19,83.7
1/11/2013,CL,CLM20,83.65
1/11/2013,CL,CLZ20,83.6
1/11/2013,CL,CLM21,83.6
1/11/2013,CL,CLZ21,83.6
1/14/2013,CL,CLG13,94.14
1/14/2013,CL,CLH13,94.59
1/14/2013,CL,CLJ13,94.97
1/14/2013,CL,CLK13,95.31
1/14/2013,CL,CLM13,95.55
1/14/2013,CL,CLN13,95.65
1/14/2013,CL,CLQ13,95.59
1/14/2013,CL,CLU13,95.45
1/14/2013,CL,CLV13,95.22
1/14/2013,CL,CLX13,94.96
1/14/2013,CL,CLZ13,94.69
1/14/2013,CL,CLF14,94.38
1/14/2013,CL,CLG14,94.07
1/14/2013,CL,CLH14,93.77
1/14/2013,CL,CLJ14,93.48
1/14/2013,CL,CLK14,93.2
1/14/2013,CL,CLM14,92.92
1/14/2013,CL,CLN14,92.58
1/14/2013,CL,CLQ14,92.29
1/14/2013,CL,CLU14,92.04
1/14/2013,CL,CLV14,91.83
1/14/2013,CL,CLX14,91.64
1/14/2013,CL,CLZ14,91.48
1/14/2013,CL,CLF15,91.16
1/14/2013,CL,CLG15,90.86
1/14/2013,CL,CLH15,90.59
1/14/2013,CL,CLJ15,90.33
1/14/2013,CL,CLK15,90.08
1/14/2013,CL,CLM15,89.87
1/14/2013,CL,CLN15,89.62
1/14/2013,CL,CLQ15,89.39
1/14/2013,CL,CLU15,89.18
1/14/2013,CL,CLV15,88.99
1/14/2013,CL,CLX15,88.81
1/14/2013,CL,CLZ15,88.65
1/14/2013,CL,CLF16,88.44
1/14/2013,CL,CLG16,88.24
1/14/2013,CL,CLH16,88.04
1/14/2013,CL,CLJ16,87.85
1/14/2013,CL,CLK16,87.66
1/14/2013,CL,CLM16,87.48
1/14/2013,CL,CLN16,87.31
1/14/2013,CL,CLQ16,87.14
1/14/2013,CL,CLU16,86.98
1/14/2013,CL,CLV16,86.82
1/14/2013,CL,CLX16,86.67
1/14/2013,CL,CLZ16,86.53
1/14/2013,CL,CLF17,86.4
1/14/2013,CL,CLG17,86.27
1/14/2013,CL,CLH17,86.15
1/14/2013,CL,CLJ17,86.03
1/14/2013,CL,CLK17,85.92
1/14/2013,CL,CLM17,85.82
1/14/2013,CL,CLN17,85.73
1/14/2013,CL,CLQ17,85.64
1/14/2013,CL,CLU17,85.55
1/14/2013,CL,CLV17,85.46
1/14/2013,CL,CLX17,85.38
1/14/2013,CL,CLZ17,85.3
1/14/2013,CL,CLF18,85.22
1/14/2013,CL,CLG18,85.15
1/14/2013,CL,CLH18,85.08
1/14/2013,CL,CLJ18,85.01
1/14/2013,CL,CLK18,84.94
1/14/2013,CL,CLM18,84.87
1/14/2013,CL,CLN18,84.8
1/14/2013,CL,CLQ18,84.74
1/14/2013,CL,CLU18,84.68
1/14/2013,CL,CLV18,84.62
1/14/2013,CL,CLX18,84.56
1/14/2013,CL,CLZ18,84.5
1/14/2013,CL,CLM19,84.35
1/14/2013,CL,CLZ19,84.2
1/14/2013,CL,CLM20,84.15
1/14/2013,CL,CLZ20,84.1
1/14/2013,CL,CLM21,84.1
1/14/2013,CL,CLZ21,84.1
1/15/2013,CL,CLG13,93.28
1/15/2013,CL,CLH13,93.72
1/15/2013,CL,CLJ13,94.09
1/15/2013,CL,CLK13,94.39
1/15/2013,CL,CLM13,94.6
1/15/2013,CL,CLN13,94.68
1/15/2013,CL,CLQ13,94.62
1/15/2013,CL,CLU13,94.48
1/15/2013,CL,CLV13,94.26
1/15/2013,CL,CLX13,94.02
1/15/2013,CL,CLZ13,93.77
1/15/2013,CL,CLF14,93.45
1/15/2013,CL,CLG14,93.14
1/15/2013,CL,CLH14,92.84
1/15/2013,CL,CLJ14,92.55
1/15/2013,CL,CLK14,92.28
1/15/2013,CL,CLM14,92.01
1/15/2013,CL,CLN14,91.68
1/15/2013,CL,CLQ14,91.4
1/15/2013,CL,CLU14,91.16
1/15/2013,CL,CLV14,90.96
1/15/2013,CL,CLX14,90.79
1/15/2013,CL,CLZ14,90.64
1/15/2013,CL,CLF15,90.33
1/15/2013,CL,CLG15,90.04
1/15/2013,CL,CLH15,89.78
1/15/2013,CL,CLJ15,89.53
1/15/2013,CL,CLK15,89.29
1/15/2013,CL,CLM15,89.08
1/15/2013,CL,CLN15,88.84
